pid_true,smiles,Tg (K),Tg (experimental) (K),Tg source,density (kg/m^3),density (std dev) ,density (experimental) (kg/m^3),density source,Order parameter,ree (nm),ree (std dev),rg (nm),rg (std dev),Delta RDF,Steps,Equilibrated?,pid (old)
W01_P001,[*]CC[*],232.318,153,[1],838.0396,3.5159,857,[1],0.025825,3.363891109,0.0325,1.1574,0.0062,0.0181,2,TRUE,W01_P001
W01_P002,[*]CC(Cl)[*],340.2668,354,[1],1362.697,1.9435,1385,[1],0.008529,2.348540959,0.0051,0.9055,0.0008,0.0097,3,TRUE,W01_P002
W01_P003,[*]CC(F)[*],302.3945,255.5,[2],1217.42,2.5378,1360,[2],0.009363,2.565114286,0.0074,0.9512,0.0009,0.0173,2,TRUE,W01_P003
W01_P004,[*]CC(C)[*],264.8935,279.6,[2],841.4272,2.0614,853,[2],0.01183,2.04277992,0.0144,0.8029,0.0016,0.0056,3,TRUE,W01_P004
W01_P005,[*]CC=CC[*],226.7443,168.5,[2],875.4781,2.0844,950,[2],0.028286,4.041143756,0.0212,1.5564,0.0032,0.0062,2,TRUE,W01_P005
W01_P006,[*]CC(CC)[*],265.5492,252,[2],840.4003,2.1853,859,[2],0.007363,2.067316983,0.0091,0.8188,0.0012,0.0045,2,TRUE,W01_P006
W01_P007,[*]C(F)(F)C[*],355.8378,238,[2],1492.386,4.1597,1680,[2],0.016623,2.56000979,0.0043,0.9677,0.0008,0.007,2,TRUE,W01_P007
W01_P008,[*]C(Cl)(Cl)C[*],406.9147,255,[2],1687.381,1.7497,1775,[2],0.017167,2.711731868,0.0025,1.0107,0.0005,0.0089,2,TRUE,W01_P008
W01_P009,[*]CC(C)(C(=O)OCc1ccccc1)[*],340.045,327,[1],1131.18,1.873,1179,[1],0.014144,2.8394001,0.0078,1.1501,0.0009,0.0119,3,TRUE,W01_P009
W01_P010,[*]CC(OCC)[*],285.3955,235,[1],942.8733,2.2199,968,[1],0.006749,2.309347552,0.0095,0.9133,0.0012,0.0163,2,TRUE,W01_P010
W01_P011,[*]CC(C#N)[*],412.9323,360.75,[1],1081.019,1.2686,1155,[1],0.016082,2.604209291,0.003,0.9876,0.0005,0.0129,2,TRUE,W01_P011
W01_P012,[*]CC(C(=O)N(C)C)[*],425.3397,362,[3],1055.97,1.7072,962,[4],0.010364,2.749061239,0.0055,1.0317,0.0008,0.0048,3,TRUE,W01_P014
W01_P013,[*]CC([*])C1=CC=CC=C1,375.4771,373,[2],1006.41,1.7874,1053,[2],0.010154,2.524411788,0.0064,0.9904,0.0009,0.0091,2,TRUE,W01_P015
W01_P014,[*]CCO[*],254.4358,218,[1],1097.659,2.2138,1127,[1],0.012995,2.513237562,0.0111,0.9788,0.0028,0.009,2,TRUE,W01_P016
W01_P015,[*]C/C=C(C)/C[*],259.7083,208,[2],881.0795,1.7967,960,[2],0.035186,4.240343656,0.0196,1.5623,0.0023,0.0195,2,TRUE,W01_P017
W01_P016,[*]CC(O)[*],394.2151,353,[1],1212.289,1.2956,1269,[1],0.014764,2.048777323,0.0032,0.8102,0.0005,0.0032,2,TRUE,W01_P018
W01_P017,[*]C(=O)CCCCC(=O)NCCCCCCN[*],276.3587,323,[1],1067.231,1.5205,1080,[1],0.036737,6.890974925,0.0116,2.6486,0.0016,0.0037,3,TRUE,W01_P020
W01_P018,[*]CC(C(=O)N)[*],427.1225,461,[2],1301.637,1.4464,1189,[5],0.00679,2.068012987,0.0026,0.8481,0.0004,0.0157,2,TRUE,W01_P021
W01_P019,[*]CC(C)(C(=O)OC)[*],434.6267,317,[1],1123.399,1.6802,1170,[1],0.022587,2.791217383,0.005,1.0674,0.0007,0.0126,2,TRUE,W01_P023
W01_P020,[*]CC(C(=O)OC)[*],316.7508,293.5,[1],1181.295,1.9061,1220,[1],0.01002,2.035090909,0.0062,0.8649,0.0007,0.0177,3,TRUE,W01_P024
W01_P021,[*]CC(C)(C(=O)O)[*],512.8953,430.5,[2],1259.885,1.3755,1285,[2],0.014102,2.075095205,0.0032,0.907,0.0004,0.0046,2,TRUE,W01_P025
W01_P022,[*]CC(C(=O)O)[*],415.3861,387.5,[2],1353.926,1.4241,1220,[2],0.005393,2.043084116,0.003,0.8408,0.0004,0.0112,4,TRUE,W01_P026
W01_P023,[*]C(OCCCCCCCC)C[*],214.9662,194,[1],884.515,2.1104,914,[1],0.01997,2.582006993,0.0135,1.1298,0.002,0.0143,5,TRUE,W01_P027
W01_P024,[*]C(OCCC)C[*],233.8987,224,[1],921.0367,2.1954,937,[1],0.011809,2.447813986,0.0131,0.9612,0.0016,0.0071,2,TRUE,W01_P028
